dataset,test_cell,cycle,soh_level,prior_Trend_Prior_l1,prior_Trend_Prior_l2,w_Trend_Prior_l1,w_Trend_Prior_l2,soh_true
CALCE,CS2_35,84.0,0.92967707,0.92967707,0.9281829416751861,0.6821580779898739,0.3178419220101262,0.9291730455544644
CALCE,CS2_35,85.0,0.92917305,0.92917305,0.9282054394483567,0.7073565871064543,0.29264341289354573,0.9286504150832512
CALCE,CS2_35,86.0,0.92865044,0.92865044,0.927551431208849,0.709578477164488,0.290421522835512,0.924185161319101
CALCE,CS2_35,87.0,0.92418516,0.92418516,0.9259160488843918,0.6938239454899933,0.3061760545100066,0.9281973213419156
CALCE,CS2_35,88.0,0.9281973,0.9281973,0.9255946703255177,0.7101248096364152,0.2898751903635847,0.923409510785644
CALCE,CS2_35,89.0,0.9234095,0.9234095,0.9242799587547779,0.7147069172808264,0.28529308271917353,0.9228486468462636
CALCE,CS2_35,90.0,0.92284864,0.92284864,0.9222858898341656,0.6905731873264895,0.3094268126735104,0.9225349844518402
CALCE,CS2_35,91.0,0.922535,0.922535,0.9213247045874595,0.6900883370661013,0.30991166293389866,0.9141265179854966
CALCE,CS2_35,92.0,0.9141265,0.9141265,0.9186309814453125,0.6567770595674955,0.3432229404325044,0.9128317980606502
CALCE,CS2_35,93.0,0.9128318,0.9128318,0.916141077131033,0.653974426348731,0.3460255736512689,0.9079432533059744
CALCE,CS2_35,94.0,0.90794325,0.90794325,0.9129096031188965,0.6504104907733635,0.3495895092266364,0.907130692397102
CALCE,CS2_35,95.0,0.9071307,0.9071307,0.9095138624310494,0.6446466853542193,0.3553533146457807,0.92381469953016
CALCE,CS2_35,96.0,0.9238147,0.9238147,0.9109066486358642,0.7083786998055728,0.2916213001944272,0.9231986756219702
CALCE,CS2_35,97.0,0.9231987,0.9231987,0.9122721835970878,0.7123137183650408,0.28768628163495924,0.9220578129743078
CALCE,CS2_35,98.0,0.9220578,0.9220578,0.9134189315140248,0.712601686080113,0.28739831391988707,0.9299581841205016
CALCE,CS2_35,99.0,0.92995816,0.92995816,0.9166730895638466,0.7449465689852431,0.25505343101475686,0.9300871631662176
CALCE,CS2_35,100.0,0.93008715,0.93008715,0.9199029311537743,0.751210272547318,0.24878972745268213,0.9214885918051168
CALCE,CS2_35,101.0,0.9214886,0.9214886,0.9208974406123162,0.7254243243728755,0.2745756756271244,0.9473728190586784
CALCE,CS2_35,102.0,0.9473728,0.9473728,0.928476569801569,0.8207738821078358,0.17922611789216428,0.946874885560706
CALCE,CS2_35,103.0,0.94687486,0.94687486,0.9347934193909169,0.8140546919797729,0.1859453080202272,0.9542554273206908
CALCE,CS2_35,104.0,0.9542554,0.9542554,0.9429899282753468,0.8499138924107768,0.15008610758922333,0.954744515573127
CALCE,CS2_35,105.0,0.9547445,0.9547445,0.9499391980469227,0.8564828020497178,0.14351719795028212,0.9404672202380968
CALCE,CS2_35,106.0,0.94046724,0.94046724,0.9524515628814697,0.824220216026746,0.1757797839732539,0.940187143278604
CALCE,CS2_35,107.0,0.94018716,0.94018716,0.9544064447283744,0.8449207508594172,0.15507924914058283,0.9406107691844188
CALCE,CS2_35,108.0,0.94061077,0.94061077,0.9547646448016167,0.8476179863917217,0.15238201360827827,0.9394201349183234
CALCE,CS2_35,109.0,0.93942016,0.93942016,0.9539688669145108,0.8537322895701995,0.14626771042980055,0.938499960283454
CALCE,CS2_35,110.0,0.9385,0.9385,0.9515450477600098,0.8496359238115978,0.15036407618840228,0.9465176192505472
CALCE,CS2_35,111.0,0.94651765,0.94651765,0.9502398379147052,0.826248052115938,0.17375194788406204,0.9467398284205808
CALCE,CS2_35,112.0,0.94673985,0.94673985,0.9505081318318844,0.8271415338162396,0.17285846618376052,0.9378892048771168
CALCE,CS2_35,113.0,0.9378892,0.9378892,0.9478982143104077,0.8027357816895849,0.19726421831041507,0.931931409870752
CALCE,CS2_35,114.0,0.93193144,0.93193144,0.9432604469358921,0.7550391927947236,0.24496080720527635,0.9306938186113852
CALCE,CS2_35,115.0,0.9306938,0.9306938,0.9392514772713184,0.7453024540153727,0.25469754598462735,0.9300307530241002
CALCE,CS2_35,116.0,0.93003076,0.93003076,0.9350777335464955,0.7659782475763445,0.23402175242365558,0.9243863512037044
CALCE,CS2_35,117.0,0.9243863,0.9243863,0.9282044671475888,0.6487284563766486,0.35127154362335145,0.9371742453624698
CALCE,CS2_35,118.0,0.93717426,0.93717426,0.9283383995294571,0.6987683969534724,0.3012316030465276,0.9375720698144046
CALCE,CS2_35,119.0,0.93757206,0.93757206,0.9287520997226238,0.674719856624585,0.3252801433754151,0.928758762621638
CALCE,CS2_35,120.0,0.92875874,0.92875874,0.9283020913600921,0.6396182532191975,0.3603817467808024,0.9215390789051578
CALCE,CS2_35,121.0,0.92153907,0.92153907,0.9267579041421413,0.6697911871081393,0.3302088128918607,0.9218642636138592
CALCE,CS2_35,122.0,0.9218643,0.9218643,0.923983632773161,0.669711991568695,0.33028800843130496,0.9158406716795564
CALCE,CS2_35,123.0,0.9158407,0.9158407,0.9201264970004559,0.6406057186574935,0.35939428134250656,0.9222686134362064
CALCE,CS2_35,124.0,0.9222686,0.9222686,0.9185485504567623,0.6693421258741873,0.33065787412581266,0.9283964694391394
CALCE,CS2_35,125.0,0.92839646,0.92839646,0.9187825292348861,0.6968598462957042,0.30314015370429576,0.9285926837494662
CALCE,CS2_35,126.0,0.9285927,0.9285927,0.9192030914127827,0.6697074302321181,0.3302925697678819,0.9284619538087638
CALCE,CS2_35,127.0,0.92846197,0.92846197,0.9210413180291652,0.6729635330330519,0.32703646696694805,0.9282607918157608
CALCE,CS2_35,128.0,0.9282608,0.9282608,0.9233139723539352,0.7108531233425903,0.2891468766574096,0.928019541969328
CALCE,CS2_35,129.0,0.9280195,0.9280195,0.924660773575306,0.7339075039126594,0.26609249608734076,0.928168321010977
CALCE,CS2_35,130.0,0.9281683,0.9281683,0.9253977723419666,0.739922240613781,0.2600777593862191,0.9279935112508976
CALCE,CS2_35,131.0,0.92799354,0.92799354,0.9259994849562645,0.7425918834690771,0.2574081165309228,0.9277239380647868
CALCE,CS2_35,132.0,0.92772394,0.92772394,0.9265018761157989,0.7612303510322541,0.23876964896774583,0.9272665876158454
CALCE,CS2_35,133.0,0.9272666,0.9272666,0.926100990921259,0.7179869004678193,0.28201309953218073,0.9236189177101128
CALCE,CS2_35,134.0,0.9236189,0.9236189,0.9266343086957931,0.7054466520971892,0.29455334790281085,0.9233526915886135
CALCE,CS2_35,135.0,0.9233527,0.9233527,0.9274996466934681,0.7388047005275333,0.26119529947246667,0.9232334848089632
CALCE,CS2_35,136.0,0.9232335,0.9232335,0.9273686416447162,0.7630649473217197,0.23693505267828027,0.9231893480416375
CALCE,CS2_35,137.0,0.92318934,0.92318934,0.9262817710638046,0.7603950915340172,0.23960490846598284,0.9231661218980955
CALCE,CS2_35,138.0,0.9231661,0.9231661,0.9251966945827007,0.7782499778260354,0.22175002217396456,0.923572708399894
CALCE,CS2_35,139.0,0.9235727,0.9235727,0.9232770971953869,0.7574109653850065,0.24258903461499348,0.9272517098875676
CALCE,CS2_35,140.0,0.9272517,0.9272517,0.9230481646955013,0.7495160695852044,0.25048393041479566,0.9067311828141242
CALCE,CS2_35,141.0,0.9067312,0.9067312,0.9184837520122529,0.663934758992645,0.3360652410073549,0.9074631409858216
CALCE,CS2_35,142.0,0.90746313,0.90746313,0.9146733455359936,0.6634885767903997,0.33651142320960015,0.9059456448770804
CALCE,CS2_35,143.0,0.90594566,0.90594566,0.9109921500086784,0.6549093583249415,0.3450906416750585,0.9054740851859368
CALCE,CS2_35,144.0,0.90547407,0.90547407,0.9077258825302124,0.6512088634460784,0.34879113655392163,0.9041856434430676
CALCE,CS2_35,145.0,0.90418565,0.90418565,0.904670988023281,0.6431474948545662,0.3568525051454338,0.9134502774137754
CALCE,CS2_35,146.0,0.9134503,0.9134503,0.90455037727952,0.6800077964946245,0.31999220350537544,0.913947187030528
CALCE,CS2_35,147.0,0.91394717,0.91394717,0.9048957034945488,0.6847762592308273,0.3152237407691727,0.8992958594334686
CALCE,CS2_35,148.0,0.89929587,0.89929587,0.901888944208622,0.6255144439423376,0.3744855560576625,0.8980275891072362
CALCE,CS2_35,149.0,0.8980276,0.8980276,0.8992072366178036,0.633970347296057,0.366029652703943,0.9048151459401352
CALCE,CS2_35,150.0,0.90481514,0.90481514,0.8984061688184738,0.6620464225384058,0.3379535774615941,0.913421775118333
CALCE,CS2_35,151.0,0.91342175,0.91342175,0.9001869305968284,0.6980025312450739,0.30199746875492606,0.9135995510848932
CALCE,CS2_35,152.0,0.91359955,0.91359955,0.9022426284849644,0.7027105766032307,0.2972894233967693,0.8989111541924347
CALCE,CS2_35,153.0,0.8989112,0.8989112,0.9008604310452938,0.6456178887172428,0.3543821112827572,0.903659635458996
CALCE,CS2_35,154.0,0.90365964,0.90365964,0.9012687869369984,0.6650542905950606,0.3349457094049394,0.9039792235009708
CALCE,CS2_35,155.0,0.90397924,0.90397924,0.9023056529462338,0.6556722179201924,0.3443277820798075,0.9034753294227096
CALCE,CS2_35,156.0,0.90347534,0.90347534,0.904258231818676,0.737233038391296,0.2627669616087041,0.904185466379225
CALCE,CS2_35,157.0,0.9041855,0.9041855,0.9039047986268998,0.7369038320416449,0.26309616795835516,0.9117430905785884
CALCE,CS2_35,158.0,0.9117431,0.9117431,0.905614073574543,0.7677719656949294,0.2322280343050706,0.912681666264299
CALCE,CS2_35,159.0,0.91268164,0.91268164,0.9072234027087689,0.7735521473781362,0.22644785262186384,0.8992021889011976
CALCE,CS2_35,160.0,0.89920217,0.89920217,0.9052237704396248,0.7307257231553742,0.2692742768446259,0.8985178254665427
CALCE,CS2_35,161.0,0.89851785,0.89851785,0.9030165672302246,0.6933183581711432,0.30668164182885677,0.8975364757385567
CALCE,CS2_35,162.0,0.89753646,0.89753646,0.9020953938364983,0.6880033319533919,0.31199666804660814,0.8984947986920874
CALCE,CS2_35,163.0,0.8984948,0.8984948,0.9018861845135688,0.7458308352360369,0.2541691647639632,0.9060081261641892
CALCE,CS2_35,164.0,0.9060081,0.9060081,0.901743907481432,0.7726439964241385,0.22735600357586144,0.9116389409625713
CALCE,CS2_35,165.0,0.9116389,0.9116389,0.9026513300836086,0.7691798676672386,0.23082013233276147,0.9121371747870132
CALCE,CS2_35,166.0,0.91213715,0.91213715,0.9043611481785774,0.7453325406495079,0.2546674593504921,0.8973357189385999
CALCE,CS2_35,167.0,0.8973357,0.8973357,0.9034784950315953,0.6912055943827065,0.3087944056172935,0.8988590262211019
CALCE,CS2_35,168.0,0.898859,0.898859,0.9034055590629577,0.7507713991270759,0.24922860087292406,0.9046490980935809
CALCE,CS2_35,169.0,0.9046491,0.9046491,0.9029453232884407,0.7529651632755846,0.2470348367244154,0.9122783846465724
CALCE,CS2_35,170.0,0.9122784,0.9122784,0.9049613140523434,0.7772222086707993,0.2227777913292008,0.9124517136216062
CALCE,CS2_35,171.0,0.9124517,0.9124517,0.9068530596792698,0.7808601260885216,0.21913987391147843,0.91261145839471
CALCE,CS2_35,172.0,0.9126115,0.9126115,0.9084973633289337,0.7804597892850678,0.21954021071493224,0.9127800608553172
CALCE,CS2_35,173.0,0.91278005,0.91278005,0.9100619159638882,0.7592720583548458,0.24072794164515413,0.912958570137997
CALCE,CS2_35,174.0,0.91295856,0.91295856,0.9125898517668247,0.759954124551548,0.24004587544845202,0.913096635592548
CALCE,CS2_35,175.0,0.9130966,0.9130966,0.9152627743780613,0.8049846440400683,0.19501535595993166,0.9136854984963444
CALCE,CS2_35,176.0,0.9136855,0.9136855,0.9160505212843418,0.8083009425233038,0.1916990574766963,0.9138788228219928
CALCE,CS2_35,177.0,0.9138788,0.9138788,0.916421965509653,0.8108169110223459,0.18918308897765415,0.9139735409390296
CALCE,CS2_35,178.0,0.91397357,0.91397357,0.9162857249379158,0.8071912363967039,0.19280876360329607,0.9139999450313406
CALCE,CS2_35,179.0,0.914,0.914,0.9158890962600708,0.7848317276176631,0.2151682723823368,0.914272975846144
CALCE,CS2_35,180.0,0.91427296,0.91427296,0.9162999115884304,0.7687663129535546,0.23123368704644545,0.9143654532647626
CALCE,CS2_35,181.0,0.9143655,0.9143655,0.9173719890415668,0.7686105125898021,0.23138948741019794,0.914414157746301
CALCE,CS2_35,182.0,0.91441417,0.91441417,0.9184627152979374,0.8153822028699348,0.18461779713006515,0.9144371157480652
CALCE,CS2_35,183.0,0.9144371,0.9144371,0.9172820664942265,0.8089494307859415,0.19105056921405839,0.9145635913460836
CALCE,CS2_35,184.0,0.9145636,0.9145636,0.9159339815378189,0.7910390161941163,0.20896098380588374,0.9145330016285068
CALCE,CS2_35,185.0,0.914533,0.914533,0.915054228156805,0.7687686445325491,0.23123135546745088,0.9145341836235034
CALCE,CS2_35,186.0,0.9145342,0.9145342,0.9150719963014126,0.7680687248143807,0.23193127518561935,0.9145178296927908
CALCE,CS2_35,187.0,0.9145178,0.9145178,0.915055314451456,0.7673267978547832,0.23267320214521678,0.9057554156665188
CALCE,CS2_35,188.0,0.9057554,0.9057554,0.9128202624619007,0.7326578950264917,0.26734210497350835,0.904383404133291
CALCE,CS2_35,189.0,0.9043834,0.9043834,0.910438983887434,0.7248007918589328,0.27519920814106713,0.9041100254997216
CALCE,CS2_35,190.0,0.90411,0.90411,0.9082259796559811,0.7211040613537737,0.27889593864622625,0.8985312233926737
CALCE,CS2_35,191.0,0.8985312,0.8985312,0.9048602253198623,0.6949417868656906,0.3050582131343094,0.8973919389220744
CALCE,CS2_35,192.0,0.8973919,0.8973919,0.9016621269285678,0.6868587508662054,0.31314124913379465,0.905626061268986
CALCE,CS2_35,193.0,0.90562606,0.90562606,0.9009589321911335,0.7147290749273645,0.2852709250726356,0.9105697766265816
CALCE,CS2_35,194.0,0.9105698,0.9105698,0.9017121143639087,0.7327554537070815,0.26724454629291855,0.9066524041814822
CALCE,CS2_35,195.0,0.9066524,0.9066524,0.9015750847756863,0.7185172570908912,0.28148274290910874,0.8971787595029908
CALCE,CS2_35,196.0,0.89717877,0.89717877,0.8992942914366722,0.6807920797318433,0.31920792026815664,0.9333833995676152
CALCE,CS2_35,197.0,0.9333834,0.9333834,0.9065058097243309,0.7988877417930645,0.2011122582069355,0.9390054807008954
CALCE,CS2_35,198.0,0.9390055,0.9390055,0.9146548181772232,0.8208067743172534,0.1791932256827466,0.9402911915227716
CALCE,CS2_35,199.0,0.94029117,0.94029117,0.9225137807428837,0.8298906197139073,0.17010938028609274,0.9407490139088006
CALCE,CS2_35,200.0,0.940749,0.940749,0.9298599131405354,0.8365091521001501,0.1634908478998499,0.9408033307188562
CALCE,CS2_35,201.0,0.94080335,0.94080335,0.9365603506565094,0.841306691976828,0.1586933080231721,0.9406629748207948
CALCE,CS2_35,202.0,0.940663,0.940663,0.9425691425800323,0.8449665933226386,0.15503340667736135,0.940636666244348
CALCE,CS2_35,203.0,0.9406367,0.9406367,0.9479156479239463,0.8671915628110953,0.1328084371889046,0.9407409479548294
CALCE,CS2_35,204.0,0.94074094,0.94074094,0.9513209775090218,0.8710377041981426,0.12896229580185736,0.9405229779683258
CALCE,CS2_35,205.0,0.94052297,0.94052297,0.9535913147032261,0.8710849157387256,0.1289150842612745,0.9401697855763814
CALCE,CS2_35,206.0,0.9401698,0.9401698,0.9548288404941558,0.8803445660259395,0.1196554339740606,0.9398270511567852
CALCE,CS2_35,207.0,0.939827,0.939827,0.9542423896491528,0.8794346979737788,0.12056530202622118,0.9391727051654576
CALCE,CS2_35,208.0,0.9391727,0.9391727,0.9522890359163284,0.8581913774998904,0.1418086225001095,0.938956623101685
CALCE,CS2_35,209.0,0.9389566,0.9389566,0.9504723086953163,0.8432803101418194,0.15671968985818063,0.9386990465531494
CALCE,CS2_35,210.0,0.93869907,0.93869907,0.9484994851052762,0.8482843802893604,0.15171561971063965,0.9384099036993182
CALCE,CS2_35,211.0,0.9384099,0.9384099,0.9451635047793389,0.8638915671860633,0.1361084328139367,0.938301017485546
CALCE,CS2_35,212.0,0.938301,0.938301,0.9395853407680989,0.7721214980131955,0.2278785019868045,0.9378077933446628
CALCE,CS2_35,213.0,0.9378078,0.9378078,0.938286478817463,0.7523645804931687,0.24763541950683132,0.9298442675520506
CALCE,CS2_35,214.0,0.92984426,0.92984426,0.9357294693589211,0.7158575210788524,0.28414247892114763,0.9218020911596548
CALCE,CS2_35,215.0,0.9218021,0.9218021,0.9315837390720845,0.6791432405851043,0.32085675941489566,0.9222236299622484
CALCE,CS2_35,216.0,0.9222236,0.9222236,0.9280743531882762,0.6770303016122073,0.32296969838779255,0.9213790556152556
CALCE,CS2_35,217.0,0.921379,0.921379,0.9248250834643841,0.6713410241215377,0.3286589758784622,0.9156315890141404
CALCE,CS2_35,218.0,0.9156316,0.9156316,0.9206035330891609,0.6445189542340936,0.35548104576590633,0.9232281484600836
CALCE,CS2_35,219.0,0.92322814,0.92322814,0.9189028955996037,0.6714766181847434,0.32852338181525675,0.9282558352837889
CALCE,CS2_35,220.0,0.92825586,0.92825586,0.9189101785421372,0.6919662456482238,0.3080337543517761,0.922798971764866
CALCE,CS2_35,221.0,0.922799,0.922799,0.9178325198590755,0.672526863795096,0.327473136204904,0.9137529827784556
CALCE,CS2_35,222.0,0.913753,0.913753,0.9148835495114327,0.6355150266611241,0.364484973338876,0.913201426534004
CALCE,CS2_35,223.0,0.91320145,0.91320145,0.9124056942760944,0.6347339416714642,0.3652660583285358,0.9082797114191196
CALCE,CS2_35,224.0,0.9082797,0.9082797,0.9092649348080158,0.613586030199141,0.38641396980085896,0.9069190489540944
CALCE,CS2_35,225.0,0.90691906,0.90691906,0.9065238773822785,0.60797934873479,0.3920206512652099,0.9154607537750484
CALCE,CS2_35,226.0,0.91546077,0.91546077,0.9066805109381676,0.6452707185149981,0.354729281485002,0.9160421274314658
CALCE,CS2_35,227.0,0.91604215,0.91604215,0.9075202070176601,0.6516068312401038,0.3483931687598961,0.9074719801674878
CALCE,CS2_35,228.0,0.90747195,0.90747195,0.9067601136863231,0.6205311381031587,0.3794688618968412,0.9053503970454992
CALCE,CS2_35,229.0,0.9053504,0.9053504,0.9061663970351219,0.6470660412503639,0.35293395874963596,0.9048281158227652
CALCE,CS2_35,230.0,0.90482813,0.90482813,0.9050589762628078,0.6777080113038753,0.32229198869612474,0.8998340984487011
CALCE,CS2_35,231.0,0.8998341,0.8998341,0.9021222345530987,0.6542823271146968,0.3457176728853032,0.8986705624764255
CALCE,CS2_35,232.0,0.89867055,0.89867055,0.8995069205760956,0.6513322136003385,0.3486677863996614,0.9072597284192538
CALCE,CS2_35,233.0,0.9072597,0.9072597,0.8995010904967785,0.7062900259746554,0.2937099740253446,0.9124355557246686
CALCE,CS2_35,234.0,0.91243553,0.91243553,0.9002800926566124,0.6992283954028725,0.30077160459712754,0.9058303880816716
CALCE,CS2_35,235.0,0.9058304,0.9058304,0.9006271064281464,0.6573530169251647,0.3426469830748353,0.8971801560327214
CALCE,CS2_35,236.0,0.89718014,0.89718014,0.9000007420778274,0.6465574261924316,0.3534425738075685,0.8973531622195673
CALCE,CS2_35,237.0,0.8973532,0.8973532,0.8993760362267494,0.6845493647705031,0.3154506352294969,0.8970284809866774
